CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,stream
93.8,2199.865,1.26,123.0,6240.0,11.2,0.0,23836.0,20360.0,25.0,0
100.0,2200.0,1.22,268.0,7840.0,29.9,0.0,23836.0,20360.0,25.0,0
100.0,2199.865,1.3,102.0,4680.0,28.3,0.0,23836.0,20360.0,25.0,0
93.8,2200.0,1.29,130.0,6880.0,48.9,0.0,23856.0,20360.0,25.0,0
100.0,2199.865,1.6,1091.0,19000.0,126.4,0.1,181228.0,179240.0,25.0,1
100.0,2200.0,1.99,187.0,11320.0,19.4,0.4,576996.0,573352.0,25.0,1
100.0,2199.865,2.23,368.0,20480.0,246.1,0.1,149648.0,144964.0,25.0,1
100.0,2200.0,1.17,623.0,18320.0,60.5,0.1,166280.0,161848.0,25.0,1
100.0,2200.0,2.34,475.0,15920.0,49.5,0.2,251464.0,247008.0,25.0,1
100.0,2200.0,1.99,60.0,6240.0,12.3,0.0,25600.0,21036.0,25.0,1
93.8,2199.865,2.34,598.0,17000.0,52.7,0.2,315044.0,309972.0,25.0,1
93.3,2199.865,2.26,94.0,15960.0,20.7,0.0,16884.0,12080.0,25.0,1
100.0,2200.0,1.98,94.0,8160.0,16.2,0.0,31460.0,26392.0,25.0,1
100.0,2200.0,2.25,35.0,5440.0,7.6,0.0,28556.0,23996.0,25.0,1
93.8,2200.0,3.35,74.0,12240.0,22.3,0.0,26568.0,21576.0,25.0,1
100.0,2200.0,2.59,249.0,19040.0,43.4,0.0,34440.0,29504.0,25.0,1
100.0,2200.0,2.09,140.0,4280.0,17.3,0.0,49452.0,46728.0,25.0,0
100.0,2200.0,2.09,82.0,4720.0,8.4,0.0,49452.0,46728.0,25.0,0
93.8,2200.0,2.04,119.0,4080.0,12.7,0.0,49452.0,46728.0,25.0,0
100.0,2199.865,2.06,114.0,4000.0,12.9,0.0,49452.0,46728.0,25.0,0
100.0,2199.865,2.46,63.0,5800.0,5.1,0.1,138712.0,136468.0,25.0,0
93.8,2200.0,2.33,81.0,5000.0,4.8,0.1,160460.0,158112.0,25.0,0
100.0,2200.0,2.13,4.0,640.0,0.4,0.0,6576.0,3760.0,25.0,0
100.0,2199.865,2.11,3.0,520.0,0.2,0.0,6576.0,3760.0,25.0,0
100.0,2200.0,2.13,5.0,680.0,0.4,0.0,6576.0,3760.0,25.0,0
100.0,2200.0,2.13,3.0,600.0,0.2,0.0,6576.0,3760.0,25.0,0
100.0,2199.865,2.14,4.0,720.0,0.3,0.0,6576.0,3760.0,25.0,0
100.0,2200.0,2.25,23215.0,24720.0,3185.3,0.1,128304.0,126052.0,25.0,1
93.8,2199.865,2.25,23461.0,24800.0,3176.7,0.1,127396.0,125264.0,25.0,1
100.0,2200.0,1.82,46771.0,16360.0,4225.5,0.6,849316.0,847132.0,25.0,1
