CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,sensitive
100.0,2199.865,0.84,16557.0,960.0,1488.0,0.5,623116.0,616540.0,6.25,1
100.0,2200.0,1.65,2445.0,1040.0,423.1,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,2.7,96768.0,3280.0,9605.5,0.1,68112.0,66208.0,8.75,1
100.0,2200.0,2.71,97689.0,5720.0,9083.6,0.1,68112.0,66208.0,8.75,1
100.0,2199.865,1.66,1841.0,1000.0,198.4,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.66,2236.0,720.0,241.9,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,2.7,99823.0,7360.0,9813.5,0.1,68112.0,66204.0,10.0,1
100.0,2200.0,1.41,1152.0,720.0,212.9,0.0,5476.0,3184.0,2.5,0
100.0,2199.865,1.46,1484.0,720.0,276.9,0.6,749336.0,742520.0,11.25,1
100.0,2200.0,2.7,98368.0,7960.0,8789.8,0.1,68112.0,66208.0,11.25,1
100.0,2200.0,2.71,94898.0,8760.0,9532.5,0.1,68112.0,66208.0,11.25,1
100.0,2200.0,1.64,2615.0,1560.0,288.4,0.0,18508.0,13180.0,2.5,0
100.0,2199.865,1.41,870.0,1200.0,243.0,0.0,5332.0,3016.0,2.5,0
100.0,2200.0,1.41,1216.0,1040.0,209.5,0.0,5476.0,3188.0,2.5,0
100.0,2200.0,1.5,997.0,360.0,136.2,0.4,593412.0,586440.0,12.5,1
100.0,2199.865,0.99,11631.0,1440.0,1083.0,0.4,623116.0,574436.0,12.5,1
100.0,2200.0,0.87,14658.0,1920.0,1314.6,0.5,623116.0,616332.0,12.5,1
100.0,2200.0,0.88,14152.0,1160.0,1234.7,0.5,623116.0,616332.0,12.5,1
100.0,2200.0,2.73,97297.0,8880.0,8565.2,0.1,68112.0,66204.0,12.5,1
100.0,2200.0,1.45,1230.0,400.0,191.4,0.4,593412.0,586968.0,13.75,1
100.0,2199.865,1.47,1314.0,640.0,154.1,0.4,593412.0,586968.0,13.75,1
